1621558264.967921,s3-eth2,65538.00,5959112.00,6024650.00,5959112,65538,993.00,1084.00,2077.00,1084,993,0.00,0.00,0,0
1621558264.968021,s2-eth1,5964970.00,65604.00,6030574.00,65604,5964970,1085.00,994.00,2079.00,994,1085,0.00,0.00,0,0
1621558264.968058,s1-eth1,5960626.00,65670.00,6026296.00,65670,5960626,1085.00,995.00,2080.00,995,1085,0.00,0.00,0,0
1621558264.968093,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558264.968126,s2-eth2,65604.00,5964970.00,6030574.00,5964970,65604,994.00,1085.00,2079.00,1085,994,0.00,0.00,0,0
1621558264.968161,s1-eth2,65604.00,5964970.00,6030574.00,5964970,65604,994.00,1085.00,2079.00,1085,994,0.00,0.00,0,0
1621558264.968191,total,18081454.00,18085930.00,36167384.00,18085930,18081454,6235.00,6237.00,12472.00,6237,6235,0.00,0.00,0,0
1621558265.968480,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558265.968525,s3-eth1,5984058.00,65670.00,6049728.00,65670,5984058,1089.00,995.00,2084.00,995,1089,0.00,0.00,0,0
1621558265.968570,s3-eth2,65736.00,5989916.00,6055652.00,5989916,65736,996.00,1090.00,2086.00,1090,996,0.00,0.00,0,0
1621558265.968714,s2-eth1,5978200.00,65736.00,6043936.00,65736,5978200,1088.00,996.00,2084.00,996,1088,0.00,0.00,0,0
1621558265.968749,s1-eth1,5970828.00,65736.00,6036564.00,65736,5970828,1086.00,996.00,2082.00,996,1086,0.00,0.00,0,0
1621558265.968780,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558265.968805,s2-eth2,65670.00,5978200.00,6043870.00,5978200,65670,995.00,1088.00,2083.00,1088,995,0.00,0.00,0,0
1621558265.968836,s1-eth2,65736.00,5978200.00,6043936.00,5978200,65736,996.00,1088.00,2084.00,1088,996,0.00,0.00,0,0
1621558265.968862,total,18130228.00,18143458.00,36273688.00,18143458,18130228,6250.00,6253.00,12503.00,6253,6250,0.00,0.00,0,0
1621558266.969109,lo,1014.00,1014.00,2028.00,1014,1014,9.00,9.00,18.00,9,9,0.00,0.00,0,0
1621558266.969163,s3-eth1,5947396.00,65810.00,6013206.00,65810,5947396,1082.00,997.00,2079.00,997,1082,0.00,0.00,0,0
1621558266.969212,s3-eth2,65810.00,5947396.00,6013206.00,5947396,65810,997.00,1082.00,2079.00,1082,997,0.00,0.00,0,0
1621558266.969293,s2-eth1,5947396.00,65674.00,6013070.00,65674,5947396,1082.00,995.00,2077.00,995,1082,0.00,0.00,0,0
1621558266.969328,s1-eth1,5941538.00,65604.00,6007142.00,65604,5941538,1081.00,994.00,2075.00,994,1081,0.00,0.00,0,0
1621558266.969403,eth0,120.00,120.00,240.00,120,120,2.00,2.00,4.00,2,2,0.00,0.00,0,0
1621558266.969433,s2-eth2,65810.00,5947396.00,6013206.00,5947396,65810,997.00,1082.00,2079.00,1082,997,0.00,0.00,0,0
1621558266.969467,s1-eth2,65674.00,5947396.00,6013070.00,5947396,65674,995.00,1082.00,2077.00,1082,995,0.00,0.00,0,0
1621558266.969496,total,18034758.00,18040410.00,36075168.00,18040410,18034758,6245.00,6243.00,12488.00,6243,6245,0.00,0.00,0,0
1621558267.970081,lo,2200.00,2200.00,4400.00,2200,2200,21.00,21.00,42.00,21,21,0.00,0.00,0,0
1621558267.970211,s3-eth1,5869786.50,64751.25,5934537.50,64816,5875656,1068.93,981.02,2049.95,982,1070,0.00,0.00,0,0
1621558267.970256,s3-eth2,64751.25,5881420.50,5946172.00,5887302,64816,981.02,1069.93,2050.95,1071,982,0.00,0.00,0,0
